Pigo 每日美國財經新聞分析 https://pigowen.serv00.net
Original Title,Translated Title,Link,Source
Trump’s tariffs are devastating the Halloween industry,CNN：川普的關稅正在摧毀萬聖節產業,https://www.cnn.com/2025/10/02/business/tariff-halloween-prices,CNN
American comedians at Saudi festival draw backlash from human rights groups,美國有線電視新聞網：沙烏地阿拉伯音樂節上的美國喜劇演員遭到人權組織的強烈反對,https://www.cnn.com/2025/10/02/media/riyadh-comedy-festival-american-comedians-saudi-human-rights,CNN
"Tesla sales hit a record in the third quarter, briefly lifting Musk’s wealth above half a trillion",CNN：特斯拉第三季銷量創歷史新高，馬斯克財富一度突破半兆,https://www.cnn.com/2025/10/02/business/tesla-sales-third-quarter-ev-rebate,CNN
Graeme Sloan/EPA/Shutterstock,美國有線電視新聞網：格雷姆·斯隆/EPA/Shutterstock,https://www.cnn.com/2025/10/02/economy/jobs-report-elizabeth-warren-trump-shutdown,CNN
Kirth Bobb,美國有線電視新聞網：柯斯·鮑勃,https://www.cnn.com/2025/10/02/media/the-root-go-media-ashley-allison,CNN
Scott Morgan/Reuters,美國有線電視新聞網：斯科特·摩根/路透社,https://www.cnn.com/2025/10/02/business/warren-buffett-oxychem-acquisition,CNN
Olga Maltseva/AFP/Getty Images,美國有線電視新聞網：奧爾加·馬爾采娃/法新社/蓋蒂圖片社,https://www.cnn.com/2025/10/02/business/taiwan-tops-world-naphtha-imports-intl-hnk,CNN
FreshSplash/E+/Getty Images,美國有線電視新聞網：FreshSplash/E+/蓋蒂圖片社,https://www.cnn.com/2025/10/02/business/401k-catchup-contributions-to-be-taxed,CNN
Mark Schiefelbein/AP,美國有線電視新聞網：馬克·席菲爾拜因/美聯社,https://www.cnn.com/2025/10/02/business/economy-data-jobs-chaos,CNN
CFOTO/Future Publishing/Getty Images,美國有線電視新聞網：CFOTO/Future Publishing/Getty Images,https://www.cnn.com/2025/10/01/business/taiwan-resist-us-pressure-move-chip-production-intl-hnk,CNN
Meta will soon use your conversations with its AI chatbot to sell you stuff,CNN：Meta 很快將利用你與其人工智慧聊天機器人的對話來向你推銷東西,https://www.cnn.com/2025/10/01/tech/meta-ai-chatbot-targeted-ads,CNN
"Dow, S&P 500 hit record highs as Wall Street shrugs off government shutdown concerns for now",美國有線電視新聞網（CNN）：道瓊斯指數、標準普爾500指數創下歷史新高，華爾街暫時對政府關門的擔憂不屑一顧,https://www.cnn.com/2025/10/01/investing/us-stock-market-government-shutdown,CNN
What this shutdown could mean for the economy and your 401(k),CNN：這次關閉對經濟和 401（k） 意味著什麼,https://www.cnn.com/2025/10/01/business/401k-markets-economy-shutdown,CNN
"AI is not yet replacing workers in the US, researchers find",CNN：研究人員發現人工智慧尚未取代美國的工人,https://www.cnn.com/2025/10/01/business/ai-impact-us-jobs-study-intl,CNN
Nike turnaround takes root despite $1.5 billion tariff bill,CNN：儘管有十五億美元的關稅法案，耐克的扭虧為觀止,https://www.cnn.com/2025/10/01/business/nike-earnings-tariff-china,CNN
"The US economy lost 32,000 private-sector jobs in September","美國有線電視新聞網：美國經濟在 9 月份失去了 32,000 個私營部門工作崗位",https://www.cnn.com/2025/10/01/economy/adp-private-jobs-report-september,CNN
Hollywood is fuming over a new ‘AI actress’,CNN：好萊塢對一位新的“人工智能女演員”感到憤怒,https://www.cnn.com/2025/09/30/tech/hollywood-ai-actor-backlash,CNN
Jimmy Kimmel explains how he learned he was being yanked off the air — and thought he’d never return,CNN：吉米·金梅爾解釋了他如何得知自己被拉下台——並認為他永遠不會回來,https://www.cnn.com/2025/10/01/media/jimmy-kimmel-stephen-colbert,CNN
Peloton goes all in on AI in product relaunch,CNN：Peloton 在產品重新推出中全力投入人工智能,https://www.cnn.com/2025/10/01/tech/peloton-relaunch-ai-new-equipment,CNN
US agency sues Apple for alleged discrimination against Jewish worker,美國有線電視新聞網：美國機構起訴蘋果涉嫌歧視猶太工人,https://www.cnn.com/2025/09/30/tech/eeoc-sues-apple-alleged-discrimination-jewish-worker,CNN
PBS and NPR funding cuts are hitting home as government shutdown looms,美國有線電視新聞網：隨著政府關門的臨近，PBS 和 NPR 的資金削減正在打擊中場,https://www.cnn.com/2025/09/30/media/pbs-npr-funding-government-shutdown-public-media,CNN
FTC claims Zillow paid Redfin $100 million to dominate online rental listings,CNN：聯邦貿易委員會聲稱 Zillow 向 Redfin 支付了 1 億美元，以主導在線租賃列表,https://www.cnn.com/2025/09/30/homes/ftc-zillow-paid-redfin-rental-listings,CNN
Candid photo of Scott Bessent’s phone reveals administration’s concern about two key Trump policies,美國有線電視新聞網：斯科特·貝森特手機的偷拍照片揭示了政府對川普兩項關鍵政策的擔憂,https://www.cnn.com/2025/09/30/economy/bessent-argentina-china,CNN
Victor J. Blue/Bloomberg/Getty Images,美國有線電視新聞網：Victor J. Blue/彭博社/蓋蒂圖片社,https://www.cnn.com/2025/09/26/business/starbucks-stores-closing-brian-niccol,CNN
"AI isn’t replacing your job, but ‘workslop’ may be taking it over",CNN：人工智慧不會取代你的工作，但「工作錯誤」可能會接管它,https://www.cnn.com/2025/09/26/business/ai-workslop-nightcap,CNN
Trump announces a 25% tariff on trucks and a 30% tariff on furniture,CNN：川普宣布對卡車徵收 25% 的關稅，對家具徵收 30% 的關稅,https://www.cnn.com/2025/09/25/business/furniture-truck-tariffs-trump,CNN
Trump signed executive order on TikTok deal. But the deal isn’t complete,CNN：川普簽署了關於 TikTok 交易的行政命令。但這筆交易並沒有完成,https://www.cnn.com/2025/09/25/tech/tiktok-executive-order-trump,CNN
Beata Zawrzel/NurPhoto/Getty Images,美國有線電視新聞網：Beata Zawrzel/NurPhoto/Getty Images,https://www.cnn.com/2025/09/25/tech/amazon-ftc-prime-settlement,CNN
Jimmy Kimmel’s ratings bonanza continues,CNN：吉米·金梅爾的收視率富礦仍在繼續,https://www.cnn.com/2025/09/25/media/jimmy-kimmel-abc-ratings-viewers-youtube,CNN
